Image_Path,Ground_Truth,Inference,Position,Compression_Level,Movie_Name
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_left_top_start_0_0.png,97.42736,99.95597,Corner,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_left__start_0_224.png,97.42736,99.95596,Corner,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_left__start_0_448.png,97.42736,99.95596,Corner,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_left_bottom_start_0_672.png,97.42736,99.95596,Corner,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_top_start_1120_0.png,97.42736,99.95596,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0__start_1120_224.png,97.42736,99.95596,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0__start_1120_448.png,97.42736,99.95596,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_bottom_start_1120_672.png,97.42736,99.95596,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_top_start_1344_0.png,97.42736,99.95597,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0__start_1344_224.png,97.42736,99.95596,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0__start_1344_448.png,97.42736,99.95596,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_bottom_start_1344_672.png,97.42736,99.95596,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_right_top_start_1568_0.png,97.42736,99.95596,Corner,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_right__start_1568_224.png,97.42736,99.95596,Corner,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_right__start_1568_448.png,97.42736,99.95596,Corner,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_right_bottom_start_1568_672.png,97.42736,99.95596,Corner,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_top_start_224_0.png,97.42736,99.95597,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0__start_224_224.png,97.42736,99.95596,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0__start_224_448.png,97.42736,99.95596,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_bottom_start_224_672.png,97.42736,99.95596,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_top_start_448_0.png,97.42736,99.95596,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0__start_448_224.png,97.42736,99.95596,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0__start_448_448.png,97.42736,99.95596,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_bottom_start_448_672.png,97.42736,99.95596,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_top_start_672_0.png,97.42736,99.95597,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0__start_672_224.png,97.42736,99.95596,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0__start_672_448.png,97.42736,99.95596,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_bottom_start_672_672.png,97.42736,99.95596,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_top_start_896_0.png,97.42736,99.95596,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0__start_896_224.png,97.42736,99.95596,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_center__start_896_448.png,97.42736,99.95596,Center,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_bottom_start_896_672.png,97.42736,99.95596,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_5_compressed_23_agent-cody-banks.mp4_frame1000_left_top_start_0_0.png,78.95116,75.39926,Corner,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_5_compressed_23_agent-cody-banks.mp4_frame1000_left__start_0_224.png,80.57215,89.65607,Corner,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_5_compressed_23_agent-cody-banks.mp4_frame1000_left__start_0_448.png,80.93084,87.643326,Corner,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_5_compressed_23_agent-cody-banks.mp4_frame1000_left_bottom_start_0_672.png,83.48179,81.85535,Corner,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_5_compressed_23_agent-cody-banks.mp4_frame1000_top_start_1120_0.png,78.46038,106.67334,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_5_compressed_23_agent-cody-banks.mp4_frame1000__start_1120_224.png,88.43981,84.72276,Edge,23,agent-cody-banks.mp4
/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_5_compressed_23_agent-cody-banks.mp4_frame1000__start_1120_448.png,81.53124,72.90335,Edge,23,agent-cody-banks.mp4
